"pk_entity";"pk_birth";"date_birth";"pk_death";"date_death"
6486616;7502714;"(1673, 11, 13)";7740421;"(1673, 1, 1)"
6486629;7502726;"(1675, 1, 1)";7740433;"(1675, 1, 1)"
6486649;7502742;"(1665, 1, 29)";7740449;"(1665, 1, 1)"
6486624;7502722;"(1663, 6, 20)";7740429;"(1663, 1, 1)"
6486746;7502839;"(1673, 1, 1)";7740546;"(1673, 1, 1)"
6486707;7502801;"(1676, 8, 26)";7740508;"(1676, 1, 1)"
6486708;7502802;"(1682, 1, 1)";7740509;"(1682, 1, 1)"
6486710;7502804;"(1675, 1, 1)";7740511;"(1675, 1, 1)"
6486775;7502867;"(1663, 2, 11)";7740574;"(1663, 1, 1)"
6486852;7502938;"(1717, 1, 1)";7740645;"(1717, 1, 1)"
6486820;7502908;"(1681, 10, 29)";7740615;"(1681, 1, 1)"
6486824;7502912;"(1678, 7, 11)";7740619;"(1678, 1, 1)"
6486834;7502921;"(1673, 1, 1)";7740628;"(1673, 1, 1)"
6486839;7502926;"(1670, 1, 1)";7740633;"(1670, 1, 1)"
6486855;7502941;"(1672, 1, 1)";7740648;"(1672, 1, 1)"
6486842;7502928;"(1669, 1, 1)";7740635;"(1669, 1, 1)"
6486858;7502944;"(1681, 1, 1)";7740651;"(1681, 1, 1)"
6486859;7502945;"(1669, 1, 1)";7740652;"(1669, 1, 1)"
6487111;7503173;"(1676, 1, 1)";7740880;"(1676, 1, 1)"
6486908;7502988;"(1676, 1, 1)";7740695;"(1676, 1, 1)"
6486910;7502990;"(1676, 1, 1)";7740697;"(1676, 1, 1)"
6486928;7503006;"(1663, 1, 4)";7740713;"(1663, 1, 1)"
6487025;7503094;"(1670, 1, 1)";7740801;"(1670, 1, 1)"
6487027;7503096;"(1672, 1, 1)";7740803;"(1672, 1, 1)"
6487075;7503140;"(1665, 4, 18)";7740847;"(1665, 1, 1)"
6487096;7503160;"(1681, 6, 4)";7740867;"(1681, 1, 1)"
6487224;7503273;"(1668, 1, 1)";7740980;"(1668, 1, 1)"
6487102;7503165;"(1671, 1, 1)";7740872;"(1671, 1, 1)"
6487105;7503168;"(1665, 1, 4)";7740875;"(1665, 1, 1)"
6487106;7503169;"(1665, 10, 31)";7740876;"(1665, 1, 1)"
6487177;7503232;"(1673, 1, 1)";7740939;"(1673, 1, 1)"
6487134;7503193;"(1670, 1, 1)";7740900;"(1670, 1, 1)"
6487184;7503238;"(1682, 1, 30)";7740945;"(1682, 1, 1)"
